Time resolution is 1 ps
                   0 << Starting the Simulation >>
                   0 tclk=0, wasel=x, wbsel=x, z=x
                  10 tclk=1, wasel=x, wbsel=x, z=1
                  20 tclk=0, wasel=2, wbsel=0, z=1
                  30 tclk=1, wasel=2, wbsel=0, z=0
                  40 tclk=0, wasel=2, wbsel=0, z=0
                  50 tclk=1, wasel=2, wbsel=0, z=0
                  60 tclk=0, wasel=2, wbsel=0, z=0
                  70 tclk=1, wasel=2, wbsel=0, z=0
                  80 tclk=0, wasel=2, wbsel=0, z=0
                  90 tclk=1, wasel=2, wbsel=0, z=0
                 100 tclk=0, wasel=1, wbsel=1, z=0
                 110 tclk=1, wasel=1, wbsel=1, z=0
                 120 tclk=0, wasel=1, wbsel=1, z=0
                 130 tclk=1, wasel=1, wbsel=1, z=0
                 140 tclk=0, wasel=1, wbsel=1, z=0
                 150 tclk=1, wasel=1, wbsel=1, z=0
                 160 tclk=0, wasel=1, wbsel=1, z=0
                 170 tclk=1, wasel=1, wbsel=1, z=0
                 180 tclk=0, wasel=1, wbsel=1, z=0
                 190 tclk=1, wasel=1, wbsel=1, z=0
                 200 tclk=0, wasel=1, wbsel=1, z=0
                 210 tclk=1, wasel=1, wbsel=1, z=0
                 220 tclk=0, wasel=1, wbsel=1, z=0
                 230 tclk=1, wasel=1, wbsel=1, z=0
                 240 tclk=0, wasel=1, wbsel=1, z=0
                 250 tclk=1, wasel=1, wbsel=1, z=1
                 260 tclk=0, wasel=0, wbsel=2, z=1
                 270 tclk=1, wasel=0, wbsel=2, z=1
                 280 tclk=0, wasel=0, wbsel=2, z=1
                 290 tclk=1, wasel=0, wbsel=2, z=1
                 300 tclk=0, wasel=0, wbsel=2, z=1
                 310 tclk=1, wasel=0, wbsel=2, z=1
                 320 tclk=0, wasel=0, wbsel=2, z=1
                 330 tclk=1, wasel=0, wbsel=2, z=1
                 340 tclk=0, wasel=0, wbsel=2, z=1
                 350 tclk=1, wasel=0, wbsel=2, z=1
                 360 tclk=0, wasel=0, wbsel=2, z=1
                 370 tclk=1, wasel=0, wbsel=2, z=1
                 380 tclk=0, wasel=0, wbsel=2, z=1
                 390 tclk=1, wasel=0, wbsel=2, z=1
                 400 tclk=0, wasel=0, wbsel=2, z=1
                 410 tclk=1, wasel=0, wbsel=2, z=1
                 420 tclk=0, wasel=0, wbsel=2, z=1
                 430 tclk=1, wasel=0, wbsel=2, z=1
                 440 tclk=0, wasel=0, wbsel=2, z=1
                 450 tclk=1, wasel=0, wbsel=2, z=1
                 460 tclk=0, wasel=0, wbsel=2, z=1
                 470 tclk=1, wasel=0, wbsel=2, z=1
                 480 tclk=0, wasel=0, wbsel=2, z=1
                 490 tclk=1, wasel=0, wbsel=2, z=1
                 500 tclk=0, wasel=0, wbsel=2, z=1
                 510 tclk=1, wasel=0, wbsel=2, z=1
                 520 tclk=0, wasel=0, wbsel=2, z=1
                 530 tclk=1, wasel=0, wbsel=2, z=1
                 540 tclk=0, wasel=0, wbsel=2, z=1
                 550 tclk=1, wasel=0, wbsel=2, z=1
                 560 tclk=0, wasel=0, wbsel=2, z=1
                 570 tclk=1, wasel=0, wbsel=2, z=1
                 580 tclk=0, wasel=0, wbsel=2, z=1
                 590 tclk=1, wasel=0, wbsel=2, z=1
                 600 tclk=0, wasel=0, wbsel=2, z=1
                 610 tclk=1, wasel=0, wbsel=2, z=1
                 620 tclk=0, wasel=0, wbsel=2, z=1
                 630 tclk=1, wasel=0, wbsel=2, z=1
                 640 tclk=0, wasel=0, wbsel=2, z=1
                 650 tclk=1, wasel=0, wbsel=2, z=1
                 660 tclk=0, wasel=0, wbsel=2, z=1
                 670 tclk=1, wasel=0, wbsel=2, z=1
                 680 tclk=0, wasel=0, wbsel=2, z=1
                 690 tclk=1, wasel=0, wbsel=2, z=1
                 700 tclk=0, wasel=0, wbsel=2, z=1
                 710 tclk=1, wasel=0, wbsel=2, z=1
                 720 tclk=0, wasel=0, wbsel=2, z=1
                 730 tclk=1, wasel=0, wbsel=2, z=1
                 740 tclk=0, wasel=0, wbsel=2, z=1
                 750 tclk=1, wasel=0, wbsel=2, z=1
                 760 tclk=0, wasel=0, wbsel=2, z=1
                 770 tclk=1, wasel=0, wbsel=2, z=1
                 780 tclk=0, wasel=0, wbsel
